Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Année édition
Ajax,19,54.5,6.0,3968,374,1173,1768,1078,162,3968,93,61,65.6,32,34.4,2704,12766,6909,122,101,30,86,66,2574,272,2020
Atalanta,23,48.3,9.0,5349,472,1470,2530,1405,207,5344,149,92,61.7,57,38.3,3283,16536,8075,187,151,50,135,87,3390,332,2020
Atlético Madrid,21,45.1,9.3,5607,571,1569,2615,1478,185,5604,138,84,60.9,54,39.1,2968,15235,7694,139,135,33,145,92,3442,382,2020
Barcelona,24,57.0,9.0,6898,679,1800,3497,1662,191,6897,206,144,69.9,62,30.1,4358,22417,12123,180,182,41,103,85,5181,404,2020
Bayern Munich,20,63.8,11.0,8620,593,2102,4182,2397,410,8618,210,128,61.0,82,39.0,5469,27506,15318,315,202,89,137,70,6408,694,2020
Benfica,23,48.5,6.0,3876,387,1241,1678,991,100,3875,89,47,52.8,42,47.2,2215,11741,6480,106,96,17,104,56,2535,266,2020
Chelsea,22,51.4,8.0,5160,458,1526,2403,1300,216,5157,191,133,69.6,58,30.4,3174,17493,9170,213,144,60,116,97,3516,354,2020
Club Brugge,22,41.5,6.0,3238,354,1077,1315,888,114,3237,99,56,56.6,43,43.4,1957,10172,5187,96,68,25,93,65,1931,277,2020
Dinamo Zagreb,21,35.2,6.0,2849,369,931,1330,624,100,2848,144,65,45.1,79,54.9,1516,9267,4606,92,91,20,99,50,1486,133,2020
Dortmund,24,51.8,8.0,5770,449,1724,2520,1576,215,5769,156,96,61.5,59,37.8,3538,17449,8535,174,149,53,104,83,4135,402,2020
Galatasaray,20,46.7,6.0,3593,439,1291,1612,722,61,3593,91,59,64.8,32,35.2,1881,9518,4564,94,75,15,101,58,2291,170,2020
