Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Année édition
Club Brugge,22,6.0,1948,2581,75.5,37414,14839,841,981,85.7,811,985,82.3,271,475,57.1,3,4.6,4.9,-1.6,47,173,48,5,280,2020
Dinamo Zagreb,21,6.0,1503,2108,71.3,24974,10165,715,868,82.4,474,624,76.0,171,363,47.1,9,6.1,4.0,+2.9,38,74,32,8,135,2020
Dortmund,24,8.0,4169,4921,84.7,70364,22095,2046,2260,90.5,1685,1876,89.8,357,570,62.6,9,10.2,10.5,-1.2,74,281,77,12,406,2020
Galatasaray,20,6.0,2309,2971,77.7,39715,15557,1088,1258,86.5,925,1082,85.5,219,447,49.0,1,3.4,3.3,-2.4,38,141,24,10,170,2020
Genk,20,6.0,1836,2488,73.8,35523,13832,749,874,85.7,773,952,81.2,280,507,55.2,4,5.4,4.2,-1.4,52,126,38,15,202,2020
Inter,20,6.0,2204,2803,78.6,39968,13876,903,1045,86.4,970,1151,84.3,244,417,58.5,9,8.0,5.8,+1.0,54,117,35,7,173,2020
Juventus,23,8.0,4500,5282,85.2,75892,24190,2095,2285,91.7,1816,2039,89.1,405,609,66.5,10,7.9,7.6,+2.1,71,336,69,20,377,2020
Leverkusen,20,6.0,3372,4060,83.1,56729,17312,1632,1806,90.4,1283,1451,88.4,320,534,59.9,2,6.0,5.1,-4.0,62,218,53,14,266,2020
Lille,21,6.0,1971,2626,75.1,33687,12657,865,1025,84.4,807,962,83.9,189,412,45.9,4,8.0,5.2,-4.0,70,143,39,9,211,2020
Liverpool,20,8.3,5240,6282,83.4,92842,29463,2393,2658,90.0,2143,2453,87.4,578,864,66.9,11,12.0,11.8,-1.0,110,472,124,21,564,2020
Loko Moscow,20,6.0,1517,2085,72.8,27504,12024,652,788,82.7,554,680,81.5,214,418,51.2,2,3.2,2.5,-1.2,38,105,18,5,140,2020
Lyon,24,10.0,3679,4704,78.2,65004,23262,1628,1841,88.4,1440,1720,83.7,436,780,55.9,9,7.8,6.6,+1.2,83,268,55,18,354,2020
Manchester City,23,9.0,5498,6313,87.1,89852,26242,2672,2878,92.8,2122,2334,90.9,450,663,67.9,18,20.0,19.7,-2.0,117,452,107,14,486,2020
Napoli,24,8.0,3470,4229,82.1,58974,21041,1757,1960,89.6,1252,1448,86.5,355,568,62.5,6,8.3,6.5,-2.3,81,241,49,15,316,2020
Olympiacos,17,6.0,2051,2627,78.1,37706,13570,883,1013,87.2,836,986,84.8,264,478,55.2,5,5.0,4.9,0.0,58,123,39,15,188,2020
Paris S-G,24,11.0,5643,6611,85.4,85322,29877,3002,3239,92.7,1942,2187,88.8,358,645,55.5,20,21.3,17.9,-1.3,102,314,86,8,443,2020
RB Leipzig,25,10.0,5285,6434,82.1,85374,29666,2682,2981,90.0,1984,2299,86.3,409,710,57.6,10,9.9,11.1,+0.1,110,450,125,32,563,2020
RB Salzburg,21,6.0,2061,2763,74.6,32897,14263,1060,1232,86.0,690,885,78.0,184,394,46.7,13,10.4,8.7,+2.6,75,176,67,7,260,2020
Real Madrid,25,8.0,4495,5226,86.0,76194,23894,2228,2397,92.9,1677,1908,87.9,448,647,69.2,14,13.5,11.4,+0.5,113,328,100,20,410,2020
Red Star,19,6.0,1641,2193,74.8,28578,11684,787,911,86.4,664,831,79.9,158,358,44.1,2,2.2,2.1,-0.2,38,96,25,9,168,2020
Shakhtar,18,6.0,2704,3198,84.6,45044,14877,1352,1477,91.5,1010,1126,89.7,244,408,59.8,6,6.5,5.7,-0.5,48,156,44,3,179,2020
Slavia Prague,20,6.0,2436,3102,78.5,43795,16145,1169,1361,85.9,939,1115,84.2,293,490,59.8,3,6.5,5.6,-3.5,59,188,49,13,272,2020
Tottenham,28,8.0,3554,4312,82.4,57860,19706,1738,1918,90.6,1423,1620,87.8,256,500,51.2,15,11.6,9.5,+3.4,75,217,74,18,298,2020
Valencia,23,8.0,3036,3863,78.6,56160,21381,1316,1511,87.1,1291,1483,87.1,359,661,54.3,9,10.8,9.0,-1.8,76,234,55,17,306,2020
Zenit,19,6.0,1882,2543,74.0,35853,15578,800,931,85.9,704,885,79.5,286,526,54.4,5,5.5,5.3,-0.5,45,148,44,13,175,2020
AEK Athens,20,6.0,1920,2510,76.5,35757,13318,858,992,86.5,692,828,83.6,290,501,57.9,2,4.3,3.8,-2.3,31,123,23,6,142,2019
Ajax,22,12.0,5137,6458,79.5,80365,28967,2646,2981,88.8,1785,2098,85.1,413,835,49.5,17,17.6,14.8,-0.6,139,358,112,9,504,2019
Atlético Madrid,21,8.0,3398,4276,79.5,56377,19398,1754,1981,88.5,1185,1416,83.7,337,609,55.3,8,6.5,8.1,+1.5,73,267,59,12,328,2019
Barcelona,23,12.0,7437,8522,87.3,117990,37319,3807,4095,93.0,2665,2954,90.2,608,879,69.2,18,17.9,18.0,+0.1,149,462,122,3,561,2019
Bayern Munich,20,8.0,4168,5025,82.9,75753,23334,1750,1952,89.7,1787,2022,88.4,489,756,64.7,9,11.1,10.4,-2.1,80,244,79,10,371,2019
Benfica,20,6.0,2163,2775,77.9,37500,13917,1054,1215,86.7,815,954,85.4,226,434,52.1,3,4.7,4.8,-1.7,55,132,39,8,209,2019
Club Brugge,25,6.0,2117,2717,77.9,39775,14149,865,1010,85.6,902,1057,85.3,281,472,59.5,3,3.3,3.3,-0.3,35,172,33,11,223,2019
CSKA Moscow,22,6.0,2055,2660,77.3,36358,13920,940,1057,88.9,759,886,85.7,247,495,49.9,5,4.4,3.6,+0.6,66,142,47,7,218,2019
Dortmund,24,8.0,5255,6024,87.2,90388,25808,2414,2649,91.1,2177,2356,92.4,510,711,71.7,8,10.6,11.7,-2.6,76,398,73,10,446,2019
Galatasaray,21,6.0,2394,3003,79.7,45179,15654,929,1078,86.2,1018,1180,86.3,349,542,64.4,2,6.8,6.1,-4.8,52,177,35,5,212,2019
Hoffenheim,25,6.0,2151,2713,79.3,40813,15283,847,971,87.2,988,1147,86.1,260,465,55.9,7,8.5,6.5,-1.5,68,164,53,14,260,2019
Inter,17,6.0,2489,3077,80.9,42946,15899,1163,1282,90.7,962,1127,85.4,277,457,60.6,4,7.4,6.9,-3.4,69,179,50,25,243,2019
Juventus,22,10.0,4714,5657,83.3,86350,28985,2015,2230,90.4,1968,2231,88.2,572,867,66.0,11,13.4,12.6,-2.4,119,324,89,29,460,2019
Liverpool,20,13.0,5613,7191,78.1,100781,34931,2391,2780,86.0,2442,2861,85.4,598,1090,54.9,17,19.8,17.4,-2.8,140,414,161,27,631,2019
Loko Moscow,19,6.0,1958,2670,73.3,31569,13544,961,1142,84.2,659,841,78.4,195,405,48.1,2,4.6,6.2,-2.6,59,169,33,3,207,2019
Lyon,21,8.0,3153,3842,82.1,53662,18974,1470,1630,90.2,1283,1457,88.1,288,518,55.6,9,10.2,7.7,-1.2,90,197,55,5,290,2019
Manchester City,21,10.0,5976,6793,88.0,97477,29647,2844,3074,92.5,2361,2588,91.2,484,653,74.1,20,16.8,16.8,+3.2,141,416,128,15,582,2019
Manchester Utd,26,10.0,4134,5034,82.1,68833,24174,2012,2216,90.8,1490,1719,86.7,419,693,60.5,5,6.2,6.3,-1.2,84,306,78,20,397,2019
Monaco,29,6.0,2437,3024,80.6,43127,14600,1084,1249,86.8,968,1120,86.4,284,462,61.5,1,3.2,3.6,-2.2,44,158,49,10,241,2019
Napoli,18,6.0,3465,4138,83.7,58278,18318,1735,1901,91.3,1259,1433,87.9,354,568,62.3,5,7.7,6.9,-2.7,69,247,60,11,312,2019
Paris S-G,20,8.0,4469,5144,86.9,69564,21926,2262,2449,92.4,1585,1745,90.8,338,520,65.0,14,15.2,11.6,-1.2,90,272,86,15,340,2019
Porto,25,10.3,3769,4932,76.4,70712,25766,1571,1809,86.8,1587,1928,82.3,501,904,55.4,15,11.1,10.5,+3.9,91,266,64,17,379,2019
PSV Eindhoven,18,6.0,1452,1993,72.9,27682,12527,635,762,83.3,568,702,80.9,203,412,49.3,5,5.5,5.6,-0.5,54,114,29,11,143,2019
Real Madrid,24,8.0,4682,5445,86.0,86214,28482,2236,2401,93.1,1777,2003,88.7,621,855,72.6,12,15.3,12.0,-3.3,127,450,87,19,536,2019
Red Star,20,6.0,1409,2028,69.5,25148,10790,680,835,81.4,512,677,75.6,177,406,43.6,3,2.4,1.9,+0.6,30,80,23,8,118,2019
Roma,24,8.3,3282,4125,79.6,60190,24233,1447,1652,87.6,1435,1675,85.7,362,627,57.7,12,11.6,8.9,+0.4,96,291,81,19,399,2019
