Round,Wk,Day,Date,Time,Home,xG-H,Score,xG-A,Away,Attendance,Venue,Referee,Match Report,Notes,Année édition
Group stage,6,Wed,2017-12-06,19:45 ,Liverpool,4.2,7–0,0.6,Spartak Moscow,"48,779",Anfield,Szymon Marciniak,Match Report,,2018
Group stage,6,Wed,2017-12-06,20:45 ,RB Leipzig,3.0,1–2,1.8,Beşiktaş,"42,558",Red Bull Arena,Viktor Kassai,Match Report,,2018
Group stage,6,Wed,2017-12-06,20:45 ,Feyenoord,0.7,2–1,1.3,Napoli,"36,500",Stadion Feijenoord,Michael Oliver,Match Report,,2018
Group stage,6,Wed,2017-12-06,20:45 ,NK Maribor,0.8,1–1,1.7,Sevilla,"11,976",Ljudski vrt,Ovidiu Hațegan,Match Report,,2018
Group stage,6,Wed,2017-12-06,20:45 ,Real Madrid,2.7,3–2,1.7,Dortmund,"73,323",Estadio Santiago Bernabéu,Pavel Královec,Match Report,,2018
Group stage,6,Wed,2017-12-06,21:45 ,Shakhtar,1.7,2–1,1.7,Manchester City,"33,154",Oblasny SportKomplex Metalist,Benoît Bastien,Match Report,,2018
Round of 16,,Tue,2018-02-13,20:45 ,Basel,1.0,0–4,0.7,Manchester City,"36,000",St. Jakob-Park,Jonas Eriksson,Match Report,Leg 1 of 2,2018
Round of 16,,Tue,2018-02-13,20:45 ,Juventus,2.5,2–2,1.8,Tottenham,"41,232",Allianz Stadium,Felix Brych,Match Report,Leg 1 of 2,2018
Round of 16,,Wed,2018-02-14,19:45 ,Porto,0.5,0–5,2.6,Liverpool,"47,718",Estádio Do Dragão,Daniele Orsato,Match Report,Leg 1 of 2,2018
Round of 16,,Wed,2018-02-14,20:45 ,Real Madrid,2.4,3–1,1.0,Paris S-G,"78,158",Estadio Ramón Sánchez Pizjuán,Gianluca Rocchi,Match Report,Leg 1 of 2,2018
Round of 16,,Tue,2018-02-20,19:45 ,Chelsea,0.5,1–1,0.6,Barcelona,"37,741",Stamford Bridge,Cüneyt Çakιr,Match Report,Leg 1 of 2,2018
Round of 16,,Tue,2018-02-20,20:45 ,Bayern Munich,4.9,5–0,0.3,Beşiktaş,"70,000",Allianz Arena,Ovidiu Hațegan,Match Report,Leg 1 of 2,2018
Round of 16,,Wed,2018-02-21,20:45 ,Sevilla,2.0,0–0,0.7,Manchester Utd,"39,725",Estadio Ramón Sánchez Pizjuán,Clément Turpin,Match Report,Leg 1 of 2,2018
Round of 16,,Wed,2018-02-21,21:45 ,Shakhtar,1.7,2–1,1.8,Roma,"35,124",Oblasny SportKomplex Metalist,William Collum,Match Report,Leg 1 of 2,2018
Round of 16,,Tue,2018-03-06,19:45 ,Liverpool,1.6,0–0,0.6,Porto,"48,768",Anfield,Felix Zwayer,Match Report,Leg 2 of 2; Liverpool won,2018
Round of 16,,Tue,2018-03-06,20:45 ,Paris S-G,1.1,1–2,2.2,Real Madrid,"46,585",Parc des Princes,Felix Brych,Match Report,Leg 2 of 2; Real Madrid won,2018
Round of 16,,Wed,2018-03-07,19:45 ,Tottenham,1.7,1–2,1.5,Juventus,"84,010",Wembley Stadium,Szymon Marciniak,Match Report,Leg 2 of 2; Juventus won,2018
Round of 16,,Wed,2018-03-07,19:45 ,Manchester City,1.6,1–2,0.6,Basel,"49,411",Etihad Stadium,Pavel Královec,Match Report,Leg 2 of 2; Manchester City won,2018
Round of 16,,Tue,2018-03-13,19:45 ,Manchester Utd,1.9,1–2,1.7,Sevilla,"74,909",Old Trafford,Danny Makkelie,Match Report,Leg 2 of 2; Sevilla won,2018
Round of 16,,Tue,2018-03-13,20:45 ,Roma,0.7,1–0,0.2,Shakhtar,"47,693",Stadio Olimpico,Alberto Undiano,Match Report,Leg 2 of 2; Roma won,2018
Round of 16,,Wed,2018-03-14,20:00 ,Beşiktaş,1.2,1–3,2.1,Bayern Munich,"36,885",Vodafone Arena,Michael Oliver,Match Report,Leg 2 of 2; Bayern Munich won,2018
Round of 16,,Wed,2018-03-14,20:45 ,Barcelona,1.0,3–0,0.7,Chelsea,"97,183",Camp Nou,Damir Skomina,Match Report,Leg 2 of 2; Barcelona won,2018
Quarter-finals,,Tue,2018-04-03,20:45 ,Sevilla,0.9,1–2,1.4,Bayern Munich,"40,635",Estadio Ramón Sánchez Pizjuán,Daniele Orsato,Match Report,Leg 1 of 2,2018
Quarter-finals,,Tue,2018-04-03,20:45 ,Juventus,1.6,0–3,3.1,Real Madrid,"40,849",Allianz Stadium,Cüneyt Çakιr,Match Report,Leg 1 of 2,2018
Quarter-finals,,Wed,2018-04-04,19:45 ,Liverpool,1.6,3–0,0.6,Manchester City,"50,685",Anfield,Felix Brych,Match Report,Leg 1 of 2,2018
Quarter-finals,,Wed,2018-04-04,20:45 ,Barcelona,1.9,4–1,1.7,Roma,"90,106",Camp Nou,Danny Makkelie,Match Report,Leg 1 of 2,2018
Quarter-finals,,Tue,2018-04-10,19:45 ,Manchester City,1.2,1–2,0.8,Liverpool,"53,461",Etihad Stadium,Antonio Matéu Lahoz,Match Report,Leg 2 of 2; Liverpool won,2018
Quarter-finals,,Tue,2018-04-10,20:45 ,Roma,2.7,3–0,0.9,Barcelona,"56,580",Stadio Olimpico,Clément Turpin,Match Report,Leg 2 of 2; Roma won,2018
Quarter-finals,,Wed,2018-04-11,20:45 ,Bayern Munich,1.2,0–0,0.6,Sevilla,"70,000",Allianz Arena,William Collum,Match Report,Leg 2 of 2; Bayern Munich won,2018
Quarter-finals,,Wed,2018-04-11,20:45 ,Real Madrid,2.7,1–3,2.7,Juventus,"75,796",Estadio Santiago Bernabéu,Michael Oliver,Match Report,Leg 2 of 2; Real Madrid won,2018
Semi-finals,,Tue,2018-04-24,19:45 ,Liverpool,3.7,5–2,1.9,Roma,"51,236",Anfield,Felix Brych,Match Report,Leg 1 of 2,2018
Semi-finals,,Wed,2018-04-25,20:45 ,Bayern Munich,1.9,1–2,0.7,Real Madrid,"70,000",Allianz Arena,Björn Kuipers,Match Report,Leg 1 of 2,2018
Semi-finals,,Tue,2018-05-01,20:45 ,Real Madrid,1.8,2–2,3.0,Bayern Munich,"77,459",Estadio Santiago Bernabéu,Cüneyt Çakιr,Match Report,Leg 2 of 2; Real Madrid won,2018
Semi-finals,,Wed,2018-05-02,20:45 ,Roma,2.4,4–2,1.6,Liverpool,"61,889",Stadio Olimpico,Damir Skomina,Match Report,Leg 2 of 2; Liverpool won,2018
Final,,Sat,2018-05-26,21:45 ,Real Madrid,1.5,3–1,1.9,Liverpool,"61,561",NSK Olimpijs'kyj (Neutral Site),Milorad Mažić,Match Report,,2018
