Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Année édition
Real Madrid,25,8.0,254,31.75,195,21,7,15,12,4,28,3.50,21,1,1,2,2,1,2020
Red Star,19,6.0,92,15.33,62,11,7,5,4,3,5,0.83,2,2,0,1,0,0,2020
Shakhtar,18,6.0,112,18.67,84,6,9,4,8,1,16,2.67,12,0,3,0,1,0,2020
Slavia Prague,20,6.0,147,24.50,105,13,2,8,14,5,7,1.17,5,0,0,1,1,0,2020
Tottenham,28,8.0,171,21.38,121,10,11,10,17,2,32,4.00,21,4,1,1,4,1,2020
Valencia,23,8.0,181,22.62,127,18,8,12,15,1,19,2.37,15,2,0,1,1,0,2020
Zenit,19,6.0,106,17.67,81,10,6,5,3,1,11,1.83,7,2,1,0,0,1,2020
AEK Athens,20,6.0,70,11.67,50,7,6,2,3,2,4,0.67,4,0,0,0,0,0,2019
Ajax,22,12.0,329,27.42,246,25,22,15,19,2,40,3.33,25,3,6,2,3,1,2019
Atlético Madrid,21,8.0,163,20.37,121,17,6,8,8,3,19,2.37,14,1,2,2,0,0,2019
Barcelona,23,12.0,360,30.00,275,14,24,21,20,6,43,3.58,30,0,7,2,3,1,2019
Bayern Munich,20,8.0,185,23.12,133,18,15,10,5,4,29,3.62,19,3,3,2,2,0,2019
Benfica,20,6.0,132,22.00,80,15,8,14,9,6,8,1.33,4,1,0,1,1,1,2019
Club Brugge,25,6.0,89,14.83,67,9,5,3,4,1,10,1.67,8,1,0,1,0,0,2019
CSKA Moscow,22,6.0,142,23.67,103,15,12,5,7,0,12,2.00,7,1,1,1,2,0,2019
Dortmund,24,8.0,173,21.62,138,9,10,8,6,2,18,2.25,16,0,2,0,0,0,2019
Galatasaray,21,6.0,125,20.83,89,13,7,4,11,1,10,1.67,7,0,0,0,3,0,2019
Hoffenheim,25,6.0,165,27.50,137,6,8,8,5,1,19,3.17,14,2,1,1,1,0,2019
