Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Année édition
37,Antonios Nikopolidis,gr GRE,GK,Olympiacos,38,1971,8,8,720,8.0,8,1.00,33,25,75.8,3,1,4,3,37.5,,,,,,2009-2010
38,Andrés Palop,es ESP,GK,Sevilla,35,1973,5,5,450,5.0,4,0.80,12,8,66.7,3,1,1,2,40.0,,,,,,2009-2010
39,Đorđe Pantić,rs SRB,GK,Debrecen,29,1980,2,2,180,2.0,9,4.50,19,10,52.6,0,0,2,0,0.0,,,,,,2009-2010
40,Vukašin Poleksić,me MNE,GK,Debrecen,26,1982,4,4,360,4.0,10,2.50,25,15,60.0,0,0,4,0,0.0,,,,,,2009-2010
41,Ulrich Ramé,fr FRA,GK,Bordeaux,36,1972,2,1,125,1.4,1,0.72,6,5,83.3,1,1,0,1,100.0,,,,,,2009-2010
42,Rüştü Reçber,tr TUR,GK,Beşiktaş,36,1973,4,4,360,4.0,4,1.00,15,11,73.3,1,1,2,2,50.0,,,,,,2009-2010
43,Pepe Reina,es ESP,GK,Liverpool,26,1982,5,5,450,5.0,5,1.00,21,16,76.2,2,1,2,2,40.0,,,,,,2009-2010
44,Roberto,es ESP,GK,Atlético Madrid,23,1986,1,1,26,0.3,0,0.00,1,1,100.0,0,0,0,0,0.0,,,,,,2009-2010
45,Sergio Romero,ar ARG,GK,AZ Alkmaar,22,1987,6,6,540,6.0,8,1.33,31,23,74.2,0,4,2,1,16.7,,,,,,2009-2010
46,Sergey Ryzhikov,ru RUS,GK,Rubin Kazan,28,1980,6,6,540,6.0,7,1.17,38,31,81.6,1,3,2,2,33.3,,,,,,2009-2010
47,Oleksandr Shovkovskiy,ua UKR,GK,Dynamo Kyiv,34,1975,4,4,360,4.0,5,1.25,15,10,66.7,0,1,2,1,25.0,,,,,,2009-2010
48,Marco Storari,it ITA,GK,Milan,32,1977,2,2,180,2.0,2,1.00,7,5,71.4,1,0,1,0,0.0,,,,,,2009-2010
49,Víctor Valdés,es ESP,GK,Barcelona,27,1982,12,12,"1,080",12.0,10,0.83,32,22,68.8,6,4,2,6,50.0,,,,,,2009-2010
50,Javi Varas,es ESP,GK,Sevilla,26,1982,3,3,270,3.0,3,1.00,10,7,70.0,1,1,1,0,0.0,,,,,,2009-2010
1,Manuel Almunia,es ESP,GK,Arsenal,31,1977,10,10,868,9.6,11,1.14,51,40,78.4,4,1,4,3,30.0,,,,,,2008-2009
2,Helton Arruda,br BRA,GK,Porto,30,1978,9,9,810,9.0,12,1.33,46,34,73.9,4,3,2,2,22.2,,,,,,2008-2009
3,Arjan Beqaj,al ALB,GK,Anorthosis,32,1975,5,5,405,4.5,5,1.11,26,21,80.8,1,2,1,1,20.0,,,,,,2008-2009
4,Stanislav Bohush,ua UKR,GK,Dynamo Kyiv,24,1983,6,6,540,6.0,4,0.67,33,29,87.9,2,2,2,3,50.0,,,,,,2008-2009
5,Artur Boruc,pl POL,GK,Celtic,28,1980,6,6,540,6.0,7,1.17,34,27,79.4,1,2,3,2,33.3,,,,,,2008-2009
6,Gianluigi Buffon,it ITA,GK,Juventus,30,1978,3,3,270,3.0,3,1.00,13,10,76.9,1,1,1,1,33.3,,,,,,2008-2009
7,Hans-Jörg Butt,de GER,GK,Bayern Munich,34,1974,3,3,270,3.0,6,2.00,14,8,57.1,1,1,1,0,0.0,,,,,,2008-2009
8,Iker Casillas,es ESP,GK,Real Madrid,27,1981,7,7,630,7.0,10,1.43,33,23,69.7,3,0,4,2,28.6,,,,,,2008-2009
9,Diego Cavalieri,br BRA,GK,Liverpool,25,1982,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,,,,,,2008-2009
10,Petr Čech,cz CZE,GK,Chelsea,26,1982,12,12,"1,080",12.0,13,1.08,51,38,74.5,5,6,1,5,41.7,,,,,,2008-2009
11,Júlio César,br BRA,GK,Inter,28,1979,7,7,630,7.0,9,1.29,50,41,82.0,1,3,3,2,28.6,,,,,,2008-2009
12,Nuno Claro,pt POR,GK,CFR Cluj,31,1977,1,1,90,1.0,2,2.00,11,9,81.8,0,0,1,0,0.0,,,,,,2008-2009
13,Franco Costanzo,ar ARG,GK,Basel,27,1980,6,6,540,6.0,16,2.67,47,31,66.0,0,1,5,0,0.0,,,,,,2008-2009
14,Grégory Coupet,fr FRA,GK,Atlético Madrid,35,1972,2,2,180,2.0,1,0.50,11,10,90.9,1,1,0,1,50.0,,,,,,2008-2009
15,Volkan Demirel,tr TUR,GK,Fenerbahçe,26,1981,6,6,540,6.0,11,1.83,26,15,57.7,0,2,4,2,33.3,,,,,,2008-2009
16,Edwin van der Sar,nl NED,GK,Manchester Utd,37,1970,10,10,900,10.0,5,0.50,38,33,86.8,6,3,1,7,70.0,,,,,,2008-2009
17,Doni,br BRA,GK,Roma,28,1979,8,8,750,8.3,7,0.84,46,39,84.8,5,0,3,2,25.0,,,,,,2008-2009
18,Jerzy Dudek,pl POL,GK,Real Madrid,35,1973,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,,,,,,2008-2009
19,Łukasz Fabiański,pl POL,GK,Arsenal,23,1985,3,2,242,2.7,0,0.00,8,8,100.0,1,2,0,2,100.0,,,,,,2008-2009
20,Tiago Ferreira,pt POR,GK,Sporting CP,33,1975,3,2,199,2.2,5,2.26,15,10,66.7,1,0,1,1,50.0,,,,,,2008-2009
21,Ben Foster,eng ENG,GK,Manchester Utd,25,1983,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,,,,,,2008-2009
22,Leo Franco,ar ARG,GK,Atlético Madrid,31,1977,6,6,540,6.0,5,0.83,31,26,83.9,2,4,0,2,33.3,,,,,,2008-2009
23,Sébastien Frey,fr FRA,GK,Fiorentina,28,1980,6,6,540,6.0,8,1.33,34,26,76.5,1,3,2,2,33.3,,,,,,2008-2009
24,Mario Galinović,hr CRO,GK,Panathinaikos,31,1976,7,7,630,7.0,8,1.14,35,27,77.1,3,1,3,3,42.9,,,,,,2008-2009
