Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Année édition
Valencia,22,6.0,103,67,61,33,9,48,94,51.1,46,62,22,40,76,179,114,3,2018-2019
Viktoria Plzeň,21,6.0,81,47,47,28,6,42,95,44.2,53,67,18,49,64,145,145,1,2018-2019
Young Boys,20,6.0,132,70,65,49,18,46,108,42.6,62,68,22,46,74,206,138,2,2018-2019
Anderlecht,20,6.0,100,69,48,46,6,47,125,37.6,78,73,20,53,88,188,99,9,2017-2018
APOEL FC,21,6.0,95,63,61,29,5,38,115,33.0,77,85,36,49,104,199,179,6,2017-2018
Atlético Madrid,20,6.0,118,80,59,45,14,48,129,37.2,81,72,17,55,90,208,93,3,2017-2018
Barcelona,22,10.0,163,115,72,64,27,55,174,31.6,119,93,27,66,108,271,132,3,2017-2018
Basel,21,8.0,124,81,65,47,12,53,147,36.1,94,96,32,64,131,255,214,1,2017-2018
Bayern Munich,22,12.0,202,138,85,82,35,74,203,36.5,129,119,27,92,137,339,157,6,2017-2018
Benfica,25,6.0,92,60,40,46,6,43,98,43.9,55,67,12,55,77,169,82,5,2017-2018
Beşiktaş,23,8.0,155,101,74,75,6,62,179,34.6,117,87,31,56,140,295,219,5,2017-2018
Celtic,20,6.0,118,72,53,58,7,44,120,36.7,76,63,13,50,102,220,153,5,2017-2018
Chelsea,19,8.0,130,97,62,49,19,45,129,34.9,84,69,12,57,111,241,119,4,2017-2018
CSKA Moscow,20,6.0,96,60,50,38,8,39,144,27.1,105,74,20,54,88,184,189,3,2017-2018
Dortmund,22,6.0,106,68,48,37,21,32,94,34.0,62,56,16,40,78,184,112,3,2017-2018
Feyenoord,23,6.0,114,80,64,42,8,22,78,28.2,56,87,15,72,100,214,113,4,2017-2018
Juventus,23,10.0,163,103,83,57,23,53,165,32.1,112,90,22,68,110,273,213,5,2017-2018
Liverpool,24,13.0,233,143,109,98,26,78,234,33.3,156,154,40,114,155,388,304,8,2017-2018
Manchester City,25,10.0,158,102,64,74,20,63,194,32.5,131,94,21,73,129,287,181,6,2017-2018
Manchester Utd,25,8.0,144,87,60,70,14,36,106,34.0,70,89,26,63,98,242,151,3,2017-2018
Monaco,23,6.0,117,66,50,57,10,42,91,46.2,49,66,16,50,72,189,123,2,2017-2018
Napoli,20,6.0,92,59,41,40,11,28,117,23.9,89,61,18,43,81,173,83,4,2017-2018
NK Maribor,17,6.0,108,68,70,36,2,44,131,33.6,87,69,29,40,70,178,206,11,2017-2018
Olympiacos,22,6.0,97,66,52,41,4,28,89,31.5,61,69,27,42,89,186,155,3,2017-2018
Paris S-G,19,8.0,127,81,63,44,20,42,115,36.5,73,94,21,73,83,210,159,3,2017-2018
Porto,25,8.0,165,117,88,68,9,47,136,34.6,89,84,26,58,120,285,175,3,2017-2018
Qarabağ FK,20,6.0,123,93,76,41,6,46,114,40.4,68,60,28,32,78,201,144,1,2017-2018
RB Leipzig,19,6.0,119,90,47,61,11,42,109,38.5,67,58,10,48,76,195,139,2,2017-2018
Real Madrid,23,13.0,235,152,114,92,29,94,250,37.6,156,157,54,103,149,384,248,4,2017-2018
Roma,20,12.0,206,134,99,83,24,79,217,36.4,138,134,45,89,140,346,217,9,2017-2018
Sevilla,22,10.0,170,102,73,71,26,68,193,35.2,125,95,28,67,119,289,202,1,2017-2018
Shakhtar,20,8.0,128,84,70,46,12,42,131,32.1,89,90,24,66,103,231,171,4,2017-2018
Spartak Moscow,20,6.0,106,66,51,45,10,46,114,40.4,68,72,24,48,91,197,162,2,2017-2018
Sporting CP,21,6.0,111,75,52,51,8,44,95,46.3,51,74,25,49,83,194,112,2,2017-2018
Tottenham,26,8.0,125,85,52,55,18,51,128,39.8,77,76,22,54,92,217,188,1,2017-2018
Arsenal,21,8.0,,119,,,,,,,,,,,131,,,,2016-2017
Atlético Madrid,20,12.0,,184,,,,,,,,,,,189,,,,2016-2017
Barcelona,23,10.0,,148,,,,,,,,,,,103,,,,2016-2017
Basel,18,6.0,,79,,,,,,,,,,,94,,,,2016-2017
Bayern Munich,21,10.3,,129,,,,,,,,,,,164,,,,2016-2017
Benfica,25,8.0,,106,,,,,,,,,,,132,,,,2016-2017
Beşiktaş,21,6.0,,73,,,,,,,,,,,112,,,,2016-2017
Celtic,22,6.0,,109,,,,,,,,,,,180,,,,2016-2017
Club Brugge,21,6.0,,84,,,,,,,,,,,86,,,,2016-2017
CSKA Moscow,19,6.0,,103,,,,,,,,,,,106,,,,2016-2017
Dinamo Zagreb,24,6.0,,105,,,,,,,,,,,151,,,,2016-2017
Dortmund,25,10.0,,137,,,,,,,,,,,131,,,,2016-2017
Dynamo Kyiv,24,6.0,,45,,,,,,,,,,,65,,,,2016-2017
FC Copenhagen,19,6.0,,95,,,,,,,,,,,104,,,,2016-2017
Juventus,25,13.0,,166,,,,,,,,,,,176,,,,2016-2017
Legia Warsaw,22,6.0,,91,,,,,,,,,,,117,,,,2016-2017
Leicester City,26,10.0,,112,,,,,,,,,,,138,,,,2016-2017
Leverkusen,26,8.0,,164,,,,,,,,,,,178,,,,2016-2017
Ludogorets,19,6.0,,105,,,,,,,,,,,143,,,,2016-2017
Lyon,21,6.0,,85,,,,,,,,,,,118,,,,2016-2017
M'Gladbach,19,6.0,,142,,,,,,,,,,,136,,,,2016-2017
Manchester City,22,8.0,,127,,,,,,,,,,,169,,,,2016-2017
Monaco,23,12.0,,210,,,,,,,,,,,256,,,,2016-2017
Napoli,21,8.0,,106,,,,,,,,,,,101,,,,2016-2017
Paris S-G,24,8.0,,131,,,,,,,,,,,131,,,,2016-2017
Porto,23,8.0,,107,,,,,,,,,,,153,,,,2016-2017
PSV Eindhoven,20,6.0,,72,,,,,,,,,,,116,,,,2016-2017
Real Madrid,23,13.3,,161,,,,,,,,,,,208,,,,2016-2017
Rostov,18,6.0,,122,,,,,,,,,,,190,,,,2016-2017
Sevilla,22,8.0,,143,,,,,,,,,,,127,,,,2016-2017
Sporting CP,21,6.0,,76,,,,,,,,,,,101,,,,2016-2017
Tottenham,21,6.0,,77,,,,,,,,,,,83,,,,2016-2017
Arsenal,24,8.0,,,,,,,,,,,,,,,,,2015-2016
Atlético Madrid,23,13.7,,,,,,,,,,,,,,,,,2015-2016
Barcelona,25,10.0,,,,,,,,,,,,,,,,,2015-2016
BATE Borisov,20,6.0,,,,,,,,,,,,,,,,,2015-2016
Bayern Munich,23,12.3,,,,,,,,,,,,,,,,,2015-2016
Benfica,25,10.0,,,,,,,,,,,,,,,,,2015-2016
Chelsea,21,8.0,,,,,,,,,,,,,,,,,2015-2016
CSKA Moscow,19,6.0,,,,,,,,,,,,,,,,,2015-2016
Dinamo Zagreb,20,6.0,,,,,,,,,,,,,,,,,2015-2016
Dynamo Kyiv,21,8.0,,,,,,,,,,,,,,,,,2015-2016
FC Astana,21,6.0,,,,,,,,,,,,,,,,,2015-2016
Galatasaray,19,6.0,,,,,,,,,,,,,,,,,2015-2016
Gent,18,8.0,,,,,,,,,,,,,,,,,2015-2016
Juventus,20,8.3,,,,,,,,,,,,,,,,,2015-2016
Leverkusen,18,6.0,,,,,,,,,,,,,,,,,2015-2016
Lyon,21,6.0,,,,,,,,,,,,,,,,,2015-2016
M'Gladbach,21,6.0,,,,,,,,,,,,,,,,,2015-2016
Maccabi Tel Aviv,20,6.0,,,,,,,,,,,,,,,,,2015-2016
Malmö,19,6.0,,,,,,,,,,,,,,,,,2015-2016
Manchester City,22,12.0,,,,,,,,,,,,,,,,,2015-2016
Manchester Utd,23,6.0,,,,,,,,,,,,,,,,,2015-2016
Olympiacos,18,6.0,,,,,,,,,,,,,,,,,2015-2016
Paris S-G,21,10.0,,,,,,,,,,,,,,,,,2015-2016
Porto,18,6.0,,,,,,,,,,,,,,,,,2015-2016
PSV Eindhoven,22,8.3,,,,,,,,,,,,,,,,,2015-2016
Real Madrid,22,13.3,,,,,,,,,,,,,,,,,2015-2016
Roma,24,8.0,,,,,,,,,,,,,,,,,2015-2016
Sevilla,19,6.0,,,,,,,,,,,,,,,,,2015-2016
Shakhtar,22,6.0,,,,,,,,,,,,,,,,,2015-2016
Valencia,22,6.0,,,,,,,,,,,,,,,,,2015-2016
Wolfsburg,22,10.0,,,,,,,,,,,,,,,,,2015-2016
Zenit,24,8.0,,,,,,,,,,,,,,,,,2015-2016
Ajax,19,6.0,,,,,,,,,,,,,,,,,2014-2015
Anderlecht,21,6.0,,,,,,,,,,,,,,,,,2014-2015
APOEL FC,21,6.0,,,,,,,,,,,,,,,,,2014-2015
Arsenal,29,8.0,,,,,,,,,,,,,,,,,2014-2015
Athletic Club,20,6.0,,,,,,,,,,,,,,,,,2014-2015
Atlético Madrid,23,10.3,,,,,,,,,,,,,,,,,2014-2015
Barcelona,22,13.0,,,,,,,,,,,,,,,,,2014-2015
Basel,23,8.0,,,,,,,,,,,,,,,,,2014-2015
BATE Borisov,20,6.0,,,,,,,,,,,,,,,,,2014-2015
Bayern Munich,24,12.0,,,,,,,,,,,,,,,,,2014-2015
Benfica,24,6.0,,,,,,,,,,,,,,,,,2014-2015
Chelsea,24,8.3,,,,,,,,,,,,,,,,,2014-2015
CSKA Moscow,18,6.0,,,,,,,,,,,,,,,,,2014-2015
Dortmund,24,8.0,,,,,,,,,,,,,,,,,2014-2015
Galatasaray,22,6.0,,,,,,,,,,,,,,,,,2014-2015
Juventus,24,13.0,,,,,,,,,,,,,,,,,2014-2015
Leverkusen,21,8.3,,,,,,,,,,,,,,,,,2014-2015
Liverpool,21,6.0,,,,,,,,,,,,,,,,,2014-2015
Ludogorets,19,6.0,,,,,,,,,,,,,,,,,2014-2015
Malmö,17,6.0,,,,,,,,,,,,,,,,,2014-2015
Manchester City,20,8.0,,,,,,,,,,,,,,,,,2014-2015
Monaco,22,10.0,,,,,,,,,,,,,,,,,2014-2015
NK Maribor,17,6.0,,,,,,,,,,,,,,,,,2014-2015
Olympiacos,19,6.0,,,,,,,,,,,,,,,,,2014-2015
Paris S-G,19,10.3,,,,,,,,,,,,,,,,,2014-2015
Porto,23,10.0,,,,,,,,,,,,,,,,,2014-2015
Real Madrid,23,12.0,,,,,,,,,,,,,,,,,2014-2015
Roma,20,6.0,,,,,,,,,,,,,,,,,2014-2015
Schalke 04,26,8.0,,,,,,,,,,,,,,,,,2014-2015
Shakhtar,20,8.0,,,,,,,,,,,,,,,,,2014-2015
Sporting CP,19,6.0,,,,,,,,,,,,,,,,,2014-2015
Zenit,18,6.0,,,,,,,,,,,,,,,,,2014-2015
Ajax,21,,,,,,,,,,,,,,,,,,2013-2014
Anderlecht,21,,,,,,,,,,,,,,,,,,2013-2014
Arsenal,24,,,,,,,,,,,,,,,,,,2013-2014
Atlético Madrid,24,,,,,,,,,,,,,,,,,,2013-2014
Austria Wien,19,,,,,,,,,,,,,,,,,,2013-2014
Barcelona,24,,,,,,,,,,,,,,,,,,2013-2014
Basel,19,,,,,,,,,,,,,,,,,,2013-2014
Bayern Munich,22,,,,,,,,,,,,,,,,,,2013-2014
Benfica,21,,,,,,,,,,,,,,,,,,2013-2014
Celtic,19,,,,,,,,,,,,,,,,,,2013-2014
Chelsea,22,,,,,,,,,,,,,,,,,,2013-2014
CSKA Moscow,20,,,,,,,,,,,,,,,,,,2013-2014
Dortmund,23,,,,,,,,,,,,,,,,,,2013-2014
FC Copenhagen,19,,,,,,,,,,,,,,,,,,2013-2014
Galatasaray,23,,,,,,,,,,,,,,,,,,2013-2014
Juventus,21,,,,,,,,,,,,,,,,,,2013-2014
Leverkusen,21,,,,,,,,,,,,,,,,,,2013-2014
Manchester City,21,,,,,,,,,,,,,,,,,,2013-2014
Manchester Utd,24,,,,,,,,,,,,,,,,,,2013-2014
Marseille,19,,,,,,,,,,,,,,,,,,2013-2014
Milan,25,,,,,,,,,,,,,,,,,,2013-2014
Napoli,19,,,,,,,,,,,,,,,,,,2013-2014
Olympiacos,23,,,,,,,,,,,,,,,,,,2013-2014
