Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Année édition
Steaua,19,,,,,,,,,,,,,,,,,,1996-1997
Widzew Łódź,17,,,,,,,,,,,,,,,,,,1996-1997
Aalborg,20,,,,,,,,,,,,,,,,,,1995-1996
Ajax,19,,,,,,,,,,,,,,,,,,1995-1996
Blackburn,18,,,,,,,,,,,,,,,,,,1995-1996
Dortmund,22,,,,,,,,,,,,,,,,,,1995-1996
Ferencváros,19,,,,,,,,,,,,,,,,,,1995-1996
Grasshopper,22,,,,,,,,,,,,,,,,,,1995-1996
Juventus,22,,,,,,,,,,,,,,,,,,1995-1996
Legia Warsaw,19,,,,,,,,,,,,,,,,,,1995-1996
Nantes,21,,,,,,,,,,,,,,,,,,1995-1996
Panathinaikos,18,,,,,,,,,,,,,,,,,,1995-1996
Porto,20,,,,,,,,,,,,,,,,,,1995-1996
Rangers,21,,,,,,,,,,,,,,,,,,1995-1996
Real Madrid,22,,,,,,,,,,,,,,,,,,1995-1996
Rosenborg,15,,,,,,,,,,,,,,,,,,1995-1996
Spartak Moscow,22,,,,,,,,,,,,,,,,,,1995-1996
Steaua,17,,,,,,,,,,,,,,,,,,1995-1996
AEK Athens,19,,,,,,,,,,,,,,,,,,1994-1995
Ajax,17,,,,,,,,,,,,,,,,,,1994-1995
Anderlecht,17,,,,,,,,,,,,,,,,,,1994-1995
Austria Salzburg,17,,,,,,,,,,,,,,,,,,1994-1995
Barcelona,21,,,,,,,,,,,,,,,,,,1994-1995
Bayern Munich,23,,,,,,,,,,,,,,,,,,1994-1995
Benfica,21,,,,,,,,,,,,,,,,,,1994-1995
Dynamo Kyiv,18,,,,,,,,,,,,,,,,,,1994-1995
Galatasaray,18,,,,,,,,,,,,,,,,,,1994-1995
Göteborg,17,,,,,,,,,,,,,,,,,,1994-1995
Hajduk Split,23,,,,,,,,,,,,,,,,,,1994-1995
Manchester Utd,20,,,,,,,,,,,,,,,,,,1994-1995
Milan,21,,,,,,,,,,,,,,,,,,1994-1995
Paris S-G,18,,,,,,,,,,,,,,,,,,1994-1995
Spartak Moscow,20,,,,,,,,,,,,,,,,,,1994-1995
Steaua,19,,,,,,,,,,,,,,,,,,1994-1995
Aarau,15,,,,,,,,,,,,,,,,,,1993-1994
AEK Athens,15,,,,,,,,,,,,,,,,,,1993-1994
AIK Stockholm,13,,,,,,,,,,,,,,,,,,1993-1994
Anderlecht,22,,,,,,,,,,,,,,,,,,1993-1994
Austria Wien,18,,,,,,,,,,,,,,,,,,1993-1994
Barcelona,19,,,,,,,,,,,,,,,,,,1993-1994
Beitar Jerusalem,16,,,,,,,,,,,,,,,,,,1993-1994
Cork City FC,14,,,,,,,,,,,,,,,,,,1993-1994
Croatia Zagreb,13,,,,,,,,,,,,,,,,,,1993-1994
Dynamo Kyiv,14,,,,,,,,,,,,,,,,,,1993-1994
FC Copenhagen,17,,,,,,,,,,,,,,,,,,1993-1994
FC Dinamo Minsk,16,,,,,,,,,,,,,,,,,,1993-1994
Feyenoord,17,,,,,,,,,,,,,,,,,,1993-1994
Floriana FC,15,,,,,,,,,,,,,,,,,,1993-1994
Galatasaray,20,,,,,,,,,,,,,,,,,,1993-1994
HJK Helsinki,14,,,,,,,,,,,,,,,,,,1993-1994
Honvéd,14,,,,,,,,,,,,,,,,,,1993-1994
Íþróttabandalag Akraness,12,,,,,,,,,,,,,,,,,,1993-1994
Lech Poznań,17,,,,,,,,,,,,,,,,,,1993-1994
Levski Sofia,15,,,,,,,,,,,,,,,,,,1993-1994
Linfield FC,14,,,,,,,,,,,,,,,,,,1993-1994
Manchester Utd,16,,,,,,,,,,,,,,,,,,1993-1994
Milan,24,,,,,,,,,,,,,,,,,,1993-1994
Monaco,19,,,,,,,,,,,,,,,,,,1993-1994
Porto,24,,,,,,,,,,,,,,,,,,1993-1994
Rangers,15,,,,,,,,,,,,,,,,,,1993-1994
Rosenborg,14,,,,,,,,,,,,,,,,,,1993-1994
Skonto FC,14,,,,,,,,,,,,,,,,,,1993-1994
Sparta Prague,16,,,,,,,,,,,,,,,,,,1993-1994
Spartak Moscow,21,,,,,,,,,,,,,,,,,,1993-1994
Steaua,17,,,,,,,,,,,,,,,,,,1993-1994
Werder Bremen,20,,,,,,,,,,,,,,,,,,1993-1994
AEK Athens,16,,,,,,,,,,,,,,,,,,1992-1993
APOEL FC,14,,,,,,,,,,,,,,,,,,1992-1993
Austria Wien,15,,,,,,,,,,,,,,,,,,1992-1993
Barcelona,17,,,,,,,,,,,,,,,,,,1992-1993
Beşiktaş,15,,,,,,,,,,,,,,,,,,1992-1993
Club Brugge,18,,,,,,,,,,,,,,,,,,1992-1993
CSKA Moscow,21,,,,,,,,,,,,,,,,,,1992-1993
CSKA Sofia,16,,,,,,,,,,,,,,,,,,1992-1993
Dinamo București,17,,,,,,,,,,,,,,,,,,1992-1993
Ferencváros,16,,,,,,,,,,,,,,,,,,1992-1993
Glentoran FC,14,,,,,,,,,,,,,,,,,,1992-1993
Göteborg,19,,,,,,,,,,,,,,,,,,1992-1993
KV,13,,,,,,,,,,,,,,,,,,1992-1993
Lahti,14,,,,,,,,,,,,,,,,,,1992-1993
Lech Poznań,16,,,,,,,,,,,,,,,,,,1992-1993
Leeds United,16,,,,,,,,,,,,,,,,,,1992-1993
Lyngby,16,,,,,,,,,,,,,,,,,,1992-1993
Maccabi Tel Aviv FC,14,,,,,,,,,,,,,,,,,,1992-1993
Marseille,21,,,,,,,,,,,,,,,,,,1992-1993
Milan,23,,,,,,,,,,,,,,,,,,1992-1993
NK Olimpija Ljubljana,15,,,,,,,,,,,,,,,,,,1992-1993
Porto,24,,,,,,,,,,,,,,,,,,1992-1993
PSV,20,,,,,,,,,,,,,,,,,,1992-1993
Rangers,19,,,,,,,,,,,,,,,,,,1992-1993
Sion,17,,,,,,,,,,,,,,,,,,1992-1993
ŠK Slovan Bratislava,16,,,,,,,,,,,,,,,,,,1992-1993
Skonto FC,14,,,,,,,,,,,,,,,,,,1992-1993
Stuttgart,16,,,,,,,,,,,,,,,,,,1992-1993
Tavriya Simferopol,15,,,,,,,,,,,,,,,,,,1992-1993
Union Luxembourg,14,,,,,,,,,,,,,,,,,,1992-1993
Viking,15,,,,,,,,,,,,,,,,,,1992-1993
Žalgiris,15,,,,,,,,,,,,,,,,,,1992-1993
Anderlecht,19,,,,,,,,,,,,,,,,,,1991-1992
Apollon Limassol,16,,,,,,,,,,,,,,,,,,1991-1992
Arsenal,16,,,,,,,,,,,,,,,,,,1991-1992
Austria Wien,15,,,,,,,,,,,,,,,,,,1991-1992
Barcelona,19,,,,,,,,,,,,,,,,,,1991-1992
Benfica,21,,,,,,,,,,,,,,,,,,1991-1992
Beşiktaş,14,,,,,,,,,,,,,,,,,,1991-1992
Brøndby,16,,,,,,,,,,,,,,,,,,1991-1992
Dundalk FC,14,,,,,,,,,,,,,,,,,,1991-1992
Dynamo Kyiv,23,,,,,,,,,,,,,,,,,,1991-1992
Etar,15,,,,,,,,,,,,,,,,,,1991-1992
FC U Craiova,15,,,,,,,,,,,,,,,,,,1991-1992
Flamurtari Vlorë,15,,,,,,,,,,,,,,,,,,1991-1992
Göteborg,15,,,,,,,,,,,,,,,,,,1991-1992
Grasshopper,13,,,,,,,,,,,,,,,,,,1991-1992
Hansa Rostock,15,,,,,,,,,,,,,,,,,,1991-1992
HJK Helsinki,14,,,,,,,,,,,,,,,,,,1991-1992
Honvéd,19,,,,,,,,,,,,,,,,,,1991-1992
Kaiserslautern,19,,,,,,,,,,,,,,,,,,1991-1992
Knattspyrnufélagið Fram,15,,,,,,,,,,,,,,,,,,1991-1992
Marseille,17,,,,,,,,,,,,,,,,,,1991-1992
Panathinaikos,18,,,,,,,,,,,,,,,,,,1991-1992
Portadown FC,12,,,,,,,,,,,,,,,,,,1991-1992
PSV,16,,,,,,,,,,,,,,,,,,1991-1992
Rangers,17,,,,,,,,,,,,,,,,,,1991-1992
Red Star,22,,,,,,,,,,,,,,,,,,1991-1992
Rosenborg,14,,,,,,,,,,,,,,,,,,1991-1992
Sampdoria,17,,,,,,,,,,,,,,,,,,1991-1992
Sparta Prague,18,,,,,,,,,,,,,,,,,,1991-1992
Union Luxembourg,13,,,,,,,,,,,,,,,,,,1991-1992
Zagłębie Lubin,14,,,,,,,,,,,,,,,,,,1991-1992
Ħamrun Spartans FC,14,,,,,,,,,,,,,,,,,,1991-1992
APOEL FC,14,,,,,,,,,,,,,,,,,,1990-1991
Bayern Munich,21,,,,,,,,,,,,,,,,,,1990-1991
Beşiktaş,12,,,,,,,,,,,,,,,,,,1990-1991
Club Brugge,16,,,,,,,,,,,,,,,,,,1990-1991
CSKA Sofia,18,,,,,,,,,,,,,,,,,,1990-1991
Dinamo București,16,,,,,,,,,,,,,,,,,,1990-1991
Dresden,19,,,,,,,,,,,,,,,,,,1990-1991
FC Tirol Innsbruck,15,,,,,,,,,,,,,,,,,,1990-1991
Grasshopper,15,,,,,,,,,,,,,,,,,,1990-1991
Knattspyrnufélag Akureyrar,14,,,,,,,,,,,,,,,,,,1990-1991
KS Dinamo Tirana,14,,,,,,,,,,,,,,,,,,1990-1991
Lahti,14,,,,,,,,,,,,,,,,,,1990-1991
Lech Poznań,14,,,,,,,,,,,,,,,,,,1990-1991
Lillestrøm,13,,,,,,,,,,,,,,,,,,1990-1991
Malmö,16,,,,,,,,,,,,,,,,,,1990-1991
Marseille,18,,,,,,,,,,,,,,,,,,1990-1991
Milan,18,,,,,,,,,,,,,,,,,,1990-1991
Napoli,16,,,,,,,,,,,,,,,,,,1990-1991
Odense,15,,,,,,,,,,,,,,,,,,1990-1991
Panathinaikos,15,,,,,,,,,,,,,,,,,,1990-1991
Portadown FC,14,,,,,,,,,,,,,,,,,,1990-1991
Porto,21,,,,,,,,,,,,,,,,,,1990-1991
Rangers,19,,,,,,,,,,,,,,,,,,1990-1991
Real Madrid,21,,,,,,,,,,,,,,,,,,1990-1991
Red Star,19,,,,,,,,,,,,,,,,,,1990-1991
Sparta Prague,17,,,,,,,,,,,,,,,,,,1990-1991
Spartak Moscow,15,,,,,,,,,,,,,,,,,,1990-1991
St Patrick's Athletic FC,14,,,,,,,,,,,,,,,,,,1990-1991
Újpest,15,,,,,,,,,,,,,,,,,,1990-1991
Union Luxembourg,13,,,,,,,,,,,,,,,,,,1990-1991
Valletta FC,13,,,,,,,,,,,,,,,,,,1990-1991
