Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Année édition
Paris S-G,1,10,10,900,,9,0.90,43,34,79.1,6,2,2,3,30.0,,,,,,2013-2014
Porto,1,6,6,540,,7,1.17,23,16,69.6,1,2,3,1,16.7,,,,,,2013-2014
Real Madrid,2,13,13,"1,200",,11,0.82,57,46,80.7,10,2,1,5,38.5,,,,,,2013-2014
Real Sociedad,2,8,8,540,,10,1.67,32,22,68.8,1,2,5,1,12.5,,,,,,2013-2014
Schalke 04,2,10,10,720,,15,1.87,41,26,63.4,4,2,4,4,40.0,,,,,,2013-2014
Shakhtar,1,6,6,540,,6,1.00,25,19,76.0,2,2,2,3,50.0,,,,,,2013-2014
Steaua,1,12,12,540,,10,1.67,29,19,65.5,3,6,3,1,8.3,,,,,,2013-2014
Viktoria Plzeň,1,12,12,540,,17,2.83,44,27,61.4,6,1,5,0,0.0,,,,,,2013-2014
Zenit,2,12,12,720,,14,1.75,50,36,72.0,4,5,3,0,0.0,,,,,,2013-2014
Ajax,1,6,6,540,,16,2.67,35,19,54.3,1,1,4,0,0.0,,,,,,2012-2013
Anderlecht,1,10,10,540,,9,1.50,22,13,59.1,3,3,4,2,20.0,,,,,,2012-2013
Arsenal,3,8,8,720,,11,1.37,41,30,73.2,4,1,3,2,25.0,,,,,,2012-2013
Barcelona,2,12,12,"1,080",,18,1.50,42,24,57.1,4,5,3,4,33.3,,,,,,2012-2013
BATE Borisov,1,12,12,540,,15,2.50,34,19,55.9,5,3,4,0,0.0,,,,,,2012-2013
Bayern Munich,1,13,13,"1,170",,11,0.85,33,22,66.7,10,2,1,5,38.5,,,,,,2012-2013
Benfica,1,6,6,540,,5,0.83,22,17,77.3,2,2,2,3,50.0,,,,,,2012-2013
Braga,2,8,8,540,,13,2.17,34,21,61.8,1,2,5,1,12.5,,,,,,2012-2013
Celtic,1,12,12,720,,13,1.62,34,21,61.8,6,2,4,1,8.3,,,,,,2012-2013
CFR Cluj,1,10,10,540,,7,1.17,22,15,68.2,6,2,2,2,20.0,,,,,,2012-2013
Chelsea,1,6,6,540,,10,1.67,24,14,58.3,3,1,2,1,16.7,,,,,,2012-2013
Dinamo Zagreb,1,12,12,540,,14,2.33,34,20,58.8,3,4,5,0,0.0,,,,,,2012-2013
Dortmund,1,13,13,"1,170",,14,1.08,47,33,70.2,5,6,2,4,30.8,,,,,,2012-2013
Dynamo Kyiv,2,10,10,540,,10,1.67,30,20,66.7,4,3,3,2,20.0,,,,,,2012-2013
Galatasaray,1,10,10,900,,14,1.40,34,20,58.8,4,3,3,1,10.0,,,,,,2012-2013
Juventus,1,10,10,900,,8,0.80,31,23,74.2,4,5,1,5,50.0,,,,,,2012-2013
Lille,2,8,8,540,,13,2.17,32,19,59.4,1,1,6,1,12.5,,,,,,2012-2013
Málaga,2,12,12,900,,9,0.90,31,22,71.0,4,6,2,5,41.7,,,,,,2012-2013
Manchester City,1,6,6,540,,11,1.83,24,13,54.2,0,3,3,0,0.0,,,,,,2012-2013
Manchester Utd,2,8,8,720,,9,1.13,26,17,65.4,4,2,2,1,12.5,,,,,,2012-2013
Milan,2,8,8,720,,9,1.13,35,26,74.3,3,2,3,2,25.0,,,,,,2012-2013
Montpellier,3,6,6,540,,12,2.00,31,19,61.3,0,2,4,0,0.0,,,,,,2012-2013
Nordsjælland,1,6,6,540,,22,3.67,40,18,45.0,0,1,5,0,0.0,,,,,,2012-2013
Olympiacos,2,6,6,540,,9,1.50,27,18,66.7,3,0,3,0,0.0,,,,,,2012-2013
Paris S-G,1,10,10,900,,8,0.80,28,20,71.4,6,3,1,3,30.0,,,,,,2012-2013
Porto,1,8,8,720,,6,0.75,27,21,77.8,5,1,2,5,62.5,,,,,,2012-2013
Real Madrid,3,12,12,"1,080",,18,1.50,53,35,66.0,5,4,3,2,16.7,,,,,,2012-2013
Schalke 04,2,8,8,720,,10,1.25,34,24,70.6,3,5,0,2,25.0,,,,,,2012-2013
Shakhtar,1,8,8,720,,13,1.62,34,21,61.8,3,2,3,1,12.5,,,,,,2012-2013
Spartak Moscow,3,8,8,540,,14,2.33,41,27,65.9,2,1,5,0,0.0,,,,,,2012-2013
Valencia,2,8,8,720,,8,1.00,30,22,73.3,4,2,2,3,37.5,,,,,,2012-2013
Zenit,1,6,6,540,,9,1.50,22,13,59.1,2,1,3,2,33.3,,,,,,2012-2013
Ajax,1,6,6,540,,6,1.00,26,20,76.9,2,2,2,4,66.7,,,,,,2011-2012
APOEL FC,2,16,16,930,,15,1.45,70,55,78.6,4,7,5,2,12.5,,,,,,2011-2012
Arsenal,3,10,10,720,,10,1.25,36,26,72.2,5,3,2,3,30.0,,,,,,2011-2012
Barcelona,2,12,12,"1,080",,10,0.83,24,14,58.3,6,5,1,5,41.7,,,,,,2011-2012
Basel,1,8,8,720,,17,2.12,56,39,69.6,4,2,2,1,12.5,,,,,,2011-2012
BATE Borisov,1,12,12,540,,14,2.33,47,33,70.2,1,7,4,0,0.0,,,,,,2011-2012
Bayern Munich,2,15,15,"1,230",,11,0.80,40,29,72.5,8,4,3,5,33.3,,,,,,2011-2012
Benfica,1,14,14,900,,10,1.00,39,29,74.4,4,7,3,4,28.6,,,,,,2011-2012
Chelsea,1,13,13,"1,230",,12,0.88,70,58,82.9,5,6,2,5,38.5,,,,,,2011-2012
CSKA Moscow,2,8,8,720,,13,1.62,50,37,74.0,2,3,3,2,25.0,,,,,,2011-2012
Dinamo Zagreb,1,12,12,540,,22,3.67,54,32,59.3,3,2,7,0,0.0,,,,,,2011-2012
Dortmund,1,6,6,540,,12,2.00,51,39,76.5,1,1,4,1,16.7,,,,,,2011-2012
Genk,1,10,10,540,,16,2.67,52,36,69.2,1,5,4,1,10.0,,,,,,2011-2012
Inter,2,8,8,720,,9,1.13,34,25,73.5,3,2,3,1,12.5,,,,,,2011-2012
Leverkusen,1,8,8,720,,18,2.25,59,41,69.5,3,1,4,1,12.5,,,,,,2011-2012
Lille,2,6,6,540,,6,1.00,17,11,64.7,1,3,2,2,33.3,,,,,,2011-2012
Lyon,1,10,10,750,,8,0.96,40,32,80.0,4,3,3,4,40.0,,,,,,2011-2012
Manchester City,1,6,6,540,,6,1.00,26,20,76.9,3,1,2,2,33.3,,,,,,2011-2012
Manchester Utd,2,6,6,540,,8,1.33,26,18,69.2,2,3,1,2,33.3,,,,,,2011-2012
Marseille,3,10,10,900,,10,1.00,50,40,80.0,4,1,5,4,40.0,,,,,,2011-2012
Milan,2,10,10,900,,14,1.40,57,43,75.4,3,4,3,4,40.0,,,,,,2011-2012
Napoli,1,8,8,750,,11,1.32,47,36,76.6,4,2,2,2,25.0,,,,,,2011-2012
Olympiacos,2,6,6,540,,6,1.00,21,15,71.4,3,0,3,1,16.7,,,,,,2011-2012
Oțelul Galați,1,6,6,540,,11,1.83,30,19,63.3,0,0,6,0,0.0,,,,,,2011-2012
Porto,1,6,6,540,,7,1.17,22,15,68.2,2,2,2,2,33.3,,,,,,2011-2012
Real Madrid,2,12,12,"1,110",,9,0.73,46,37,80.4,7,4,1,6,50.0,,,,,,2011-2012
Shakhtar,1,6,6,540,,8,1.33,35,27,77.1,1,2,3,1,16.7,,,,,,2011-2012
Trabzonspor,1,8,8,540,,5,0.83,29,24,82.8,1,5,2,3,37.5,,,,,,2011-2012
Valencia,1,6,6,540,,7,1.17,32,25,78.1,2,2,2,2,33.3,,,,,,2011-2012
Viktoria Plzeň,2,12,12,540,,11,1.83,37,26,70.3,4,5,3,0,0.0,,,,,,2011-2012
Villarreal,1,8,8,540,,14,2.33,32,18,56.3,0,1,7,0,0.0,,,,,,2011-2012
Zenit,2,8,8,720,,9,1.13,38,29,76.3,3,3,2,3,37.5,,,,,,2011-2012
Ajax,1,10,10,540,,10,1.67,45,35,77.8,2,5,3,1,10.0,,,,,,2010-2011
Arsenal,3,8,8,720,,11,1.37,43,32,74.4,5,0,3,1,12.5,,,,,,2010-2011
Auxerre,1,8,8,540,,12,2.00,29,17,58.6,1,1,6,8,100.0,,,,,,2010-2011
Barcelona,2,13,13,"1,170",,9,0.69,37,28,75.7,8,4,1,5,38.5,,,,,,2010-2011
Basel,1,10,10,540,,11,1.83,28,17,60.7,5,1,4,1,10.0,,,,,,2010-2011
Bayern Munich,2,8,8,720,,9,1.13,46,37,80.4,6,1,1,4,50.0,,,,,,2010-2011
Benfica,1,6,6,540,,12,2.00,24,12,50.0,2,0,4,1,16.7,,,,,,2010-2011
Braga,2,10,10,540,,11,1.83,30,19,63.3,6,0,4,3,30.0,,,,,,2010-2011
Bursaspor,2,6,6,540,,16,2.67,36,20,55.6,0,1,5,0,0.0,,,,,,2010-2011
CFR Cluj,2,6,6,540,,12,2.00,46,34,73.9,1,1,4,0,0.0,,,,,,2010-2011
Chelsea,2,10,10,900,,7,0.70,40,33,82.5,6,1,3,4,40.0,,,,,,2010-2011
FC Copenhagen,1,12,12,720,,7,0.87,40,33,82.5,3,5,4,3,25.0,,,,,,2010-2011
Hapoel Tel Aviv,1,12,12,540,,10,1.67,49,39,79.6,4,4,4,2,16.7,,,,,,2010-2011
Inter,3,10,10,900,,21,2.10,54,33,61.1,4,1,5,2,20.0,,,,,,2010-2011
Lyon,1,8,8,720,,14,1.75,44,30,68.2,3,2,3,2,25.0,,,,,,2010-2011
Manchester Utd,3,13,13,"1,170",,7,0.54,55,48,87.3,6,6,1,8,61.5,,,,,,2010-2011
Marseille,1,8,8,720,,5,0.62,24,19,79.2,4,1,3,5,62.5,,,,,,2010-2011
Milan,2,8,8,720,,8,1.00,47,39,83.0,2,3,3,3,37.5,,,,,,2010-2011
MŠK Žilina,1,12,12,540,,19,3.17,48,29,60.4,1,4,7,0,0.0,,,,,,2010-2011
Panathinaikos,1,6,6,540,,13,2.17,40,27,67.5,0,2,4,2,33.3,,,,,,2010-2011
Partizan,1,12,12,540,,13,2.17,39,26,66.7,4,2,6,0,0.0,,,,,,2010-2011
Rangers,1,6,6,540,,6,1.00,36,30,83.3,1,3,2,2,33.3,,,,,,2010-2011
Real Madrid,3,12,12,"1,080",,6,0.50,35,29,82.9,7,4,1,8,66.7,,,,,,2010-2011
Roma,3,8,8,720,,17,2.12,44,27,61.4,3,1,4,0,0.0,,,,,,2010-2011
Rubin Kazan,1,6,6,540,,4,0.67,18,14,77.8,1,3,2,3,50.0,,,,,,2010-2011
Schalke 04,1,12,12,"1,080",,14,1.17,64,50,78.1,5,4,3,3,25.0,,,,,,2010-2011
Shakhtar,1,10,10,900,,14,1.40,55,41,74.5,6,2,2,5,50.0,,,,,,2010-2011
Spartak Moscow,1,6,6,540,,10,1.67,26,16,61.5,3,0,3,2,33.3,,,,,,2010-2011
Tottenham,2,12,12,900,,16,1.60,59,43,72.9,4,5,3,3,25.0,,,,,,2010-2011
Twente,2,6,6,540,,11,1.83,39,28,71.8,1,3,2,1,16.7,,,,,,2010-2011
Valencia,3,8,8,720,,8,1.00,40,32,80.0,3,3,2,2,25.0,,,,,,2010-2011
Werder Bremen,2,8,8,540,,12,2.00,33,21,63.6,2,2,4,1,12.5,,,,,,2010-2011
APOEL FC,1,12,12,540,,7,1.17,43,36,83.7,2,5,5,1,8.3,,,,,,2009-2010
Arsenal,3,12,12,900,,13,1.30,47,34,72.3,5,4,3,3,25.0,,,,,,2009-2010
Atlético Madrid,3,8,8,540,,12,2.00,25,13,52.0,1,4,3,1,12.5,,,,,,2009-2010
AZ Alkmaar,1,6,6,540,,8,1.33,31,23,74.2,0,4,2,1,16.7,,,,,,2009-2010
Barcelona,1,12,12,"1,080",,10,0.83,32,22,68.8,3,7,2,6,50.0,,,,,,2009-2010
Bayern Munich,1,13,13,"1,170",,15,1.15,54,39,72.2,7,1,5,5,38.5,,,,,,2009-2010
