Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Année édition
Feyenoord,1,12,12,"1,080",,13,1.08,51,38,74.5,3,7,2,5,41.7,,,,,,1999-2000
Fiorentina,2,14,14,"1,080",,15,1.25,70,55,78.6,6,5,3,2,14.3,,,,,,1999-2000
Galatasaray,2,8,8,540,,13,2.17,31,18,58.1,4,1,3,0,0.0,,,,,,1999-2000
Hertha BSC,2,14,14,"1,080",,18,1.50,55,37,67.3,3,5,6,1,7.1,,,,,,1999-2000
Lazio,2,14,14,"1,260",,12,0.86,49,37,75.5,8,4,2,7,50.0,,,,,,1999-2000
Leverkusen,1,6,6,540,,7,1.17,22,15,68.2,1,4,1,2,33.3,,,,,,1999-2000
Manchester Utd,2,14,14,"1,260",,11,0.79,44,33,75.0,8,3,3,6,42.9,,,,,,1999-2000
Marseille,2,12,12,"1,080",,19,1.58,63,44,69.8,4,2,6,4,33.3,,,,,,1999-2000
Milan,1,6,6,540,,7,1.17,23,16,69.6,1,3,2,2,33.3,,,,,,1999-2000
Molde,1,10,10,540,,14,2.33,35,21,60.0,2,2,6,0,0.0,,,,,,1999-2000
NK Maribor,2,10,10,540,,12,2.00,39,27,69.2,4,1,5,2,20.0,,,,,,1999-2000
Olympiacos,1,6,6,540,,12,2.00,31,19,61.3,2,1,3,0,0.0,,,,,,1999-2000
Porto,2,14,14,"1,260",,17,1.21,62,45,72.6,7,2,5,5,35.7,,,,,,1999-2000
PSV,2,8,8,540,,10,1.67,32,22,68.8,2,2,4,0,0.0,,,,,,1999-2000
Rangers,2,10,10,540,,7,1.17,29,22,75.9,5,1,4,1,10.0,,,,,,1999-2000
Real Madrid,3,17,17,"1,530",,23,1.35,73,50,68.5,10,4,4,6,35.3,,,,,,1999-2000
Rosenborg,2,12,12,"1,080",,16,1.33,47,31,66.0,3,3,6,3,25.0,,,,,,1999-2000
Sparta Prague,2,12,12,"1,080",,18,1.50,59,41,69.5,4,5,3,4,33.3,,,,,,1999-2000
Spartak Moscow,1,8,8,540,,12,2.00,33,21,63.6,3,2,3,0,0.0,,,,,,1999-2000
Sturm Graz,2,8,8,540,,12,2.00,32,20,62.5,3,1,4,0,0.0,,,,,,1999-2000
Valencia,2,19,19,"1,530",,18,1.06,71,53,74.6,10,5,5,5,26.3,,,,,,1999-2000
Willem II,2,6,6,540,,15,2.50,36,21,58.3,0,2,4,1,16.7,,,,,,1999-2000
